Log_ID,Timestamp,Service_Name,Notification_Type,Recipient_Type,Status,Failure_Reason,Response_Code,Retry_Count,Delivery_Time_ms
LOG00001,2026-05-05 03:56:41,Email Gateway,Email,Vendor,Delivered,,250,0,389
LOG00002,2026-05-12 09:38:53,Authentication Service,Email,Admin,Failed,Invalid Email,550,1,4939
LOG00003,2026-04-27 21:36:38,Email Gateway,Alert,Employee,Delivered,,250,0,1039
LOG00004,2026-02-12 19:19:39,Billing Service,Alert,Vendor,Delivered,,250,0,506
LOG00005,2026-05-16 13:33:55,Billing Service,Invoice,Vendor,Delivered,,250,1,869
LOG00006,2026-01-20 20:20:03,Email Gateway,Promotional,Customer,Delivered,,250,0,721
LOG00007,2026-06-06 17:29:25,Email Gateway,Promotional,Customer,Delivered,,250,0,1310
LOG00008,2026-02-26 22:18:35,Authentication Service,Invoice,Employee,Delivered,,250,0,646
LOG00009,2026-05-31 02:45:34,Marketing Service,Email,Employee,Delivered,,250,0,1108
LOG00010,2026-05-04 10:30:15,Marketing Service,Password Reset,Vendor,Delivered,,250,0,1617
LOG00011,2026-05-13 17:33:46,Email Gateway,Alert,Employee,Delivered,,250,0,1126
LOG00012,2026-03-15 16:23:25,Marketing Service,Alert,Employee,Delivered,,250,0,1769
LOG00013,2026-01-11 20:41:23,Notification Service,Email,Vendor,Delivered,,250,0,1341
LOG00014,2026-06-20 04:10:08,Marketing Service,Password Reset,Admin,Delivered,,250,0,1119
LOG00015,2026-01-28 17:49:47,Marketing Service,Password Reset,Employee,Delivered,,250,0,1709
LOG00016,2026-04-24 12:22:05,Billing Service,Alert,Admin,Delivered,,250,1,463
LOG00017,2026-04-09 22:33:52,Billing Service,Email,Customer,Delivered,,250,0,507
LOG00018,2026-06-03 19:21:26,Billing Service,Alert,Customer,Delivered,,250,0,1138
LOG00019,2026-04-13 17:51:05,Marketing Service,Alert,Customer,Delivered,,250,0,1279
LOG00020,2026-05-26 19:20:39,Marketing Service,Invoice,Customer,Delivered,,250,0,186
LOG00021,2026-05-21 05:11:34,Marketing Service,Alert,Employee,Delivered,,250,0,1460
LOG00022,2026-02-27 22:51:12,Authentication Service,Alert,Employee,Delivered,,250,0,1284
LOG00023,2026-06-01 04:39:44,Authentication Service,Email,Vendor,Delivered,,250,0,923
LOG00024,2026-06-20 15:08:26,Marketing Service,Password Reset,Customer,Delivered,,250,0,341
LOG00025,2026-01-17 15:10:26,Billing Service,Email,Employee,Delivered,,250,0,1305
LOG00026,2026-02-02 01:32:50,Marketing Service,Alert,Admin,Delivered,,250,0,1726
LOG00027,2026-05-22 17:43:31,Notification Service,Invoice,Admin,Delivered,,250,0,1077
LOG00028,2026-06-24 16:30:19,Authentication Service,Promotional,Customer,Delivered,,250,0,223
LOG00029,2026-04-25 05:43:02,Authentication Service,Password Reset,Employee,Failed,Mailbox Full,552,0,2675
LOG00030,2026-01-14 02:06:29,Email Gateway,Invoice,Customer,Delivered,,250,0,1174
LOG00031,2026-02-11 14:24:57,Authentication Service,Password Reset,Admin,Delivered,,250,0,1013
LOG00032,2026-02-06 23:22:28,Email Gateway,Email,Admin,Delivered,,250,0,1673
LOG00033,2026-01-11 12:27:21,Email Gateway,Email,Admin,Delivered,,250,0,403
LOG00034,2026-02-18 06:49:21,Notification Service,Password Reset,Admin,Delivered,,250,0,1127
